param N := 9;
param p :
	0	1	2	3	4	5	6	7	8	9	10 :=
0	0	999	0	0	0	0	0	0	0	0	0
1	0	0	0	20	10	0	0	0	0	0	0
2	0	0	0	0	0	8	0	0	0	0	0
3	0	20	0	0	0	0	0	30	0	0	0
4	0	10	0	0	0	0	5	0	0	0	0
5	0	0	8	0	0	0	25	0	0	0	0
6	0	0	0	0	5	25	0	0	6	0	0
7	0	0	0	30	0	0	0	0	0	7	0
8	0	0	0	0	0	0	6	0	0	0	6
9	0	0	0	0	0	0	0	7	0	0	7
10	0	0	0	0	0	0	0	0	0	0	0;
	
param kos :
	0	1	2	3	4	5	6	7	8	9	10 :=
0	10	10	10	10	10	10	10	10	10	10	10
1	10	10	10	10	10	10	10	10	10	10	10
2	10	10	10	10	10	10	10	10	10	10	10
3	10	10	10	10	10	10	10	10	10	10	10
4	10	10	10	10	10	10	10	10	10	10	10
5	10	10	10	10	10	10	10	10	10	10	10
6	10	10	10	10	10	10	10	10	10	10	10
7	10	10	10	10	10	10	10	10	10	10	10
8	10	10	10	10	10	10	10	10	10	10	10
9	10	10	10	10	10	10	10	10	10	10	10
10	10	10	10	10	10	10	10	10	10	10	10;

param kar :
	0	1	2	3	4	5	6	7	8	9	10 :=
0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	1000
9	0	0	0	0	0	0	0	0	0	0	1000
10	0	0	0	0	0	0	0	0	0	0	0;

param cen :
	0	1	2	3	4	5	6	7	8	9	10 :=
0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	100
9	0	0	0	0	0	0	0	0	0	0	100
10	0	0	0	0	0	0	0	0	0	0	0;
